"feature","feature_label","pvalue_source","pvalue_name","p.value","p.adj","p.adj.signif","p_text","n","n_patient","test_type"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","pairwise_level","UC_vs_nonIBD",0.325311701251052,0.585878485879549,"ns","UC_vs_nonIBD: p=0.325, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_level","CD_vs_nonIBD",0.292145767473453,0.585878485879549,"ns","CD_vs_nonIBD: p=0.292, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_level","UC_vs_nonIBD",0.253292174504904,0.585878485879549,"ns","UC_vs_nonIBD: p=0.253, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Malassezia_restricta","Malassezia_restricta","pairwise_level","CD_vs_nonIBD",0.0115547222277593,0.415970000199335,"ns","CD_vs_nonIBD: p=0.0116, FDR=0.416 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Malassezia_restricta","Malassezia_restricta","pairwise_level","UC_vs_nonIBD",0.0796794464796462,0.585878485879549,"ns","UC_vs_nonIBD: p=0.0797, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","pairwise_level","CD_vs_nonIBD",0.127747667564587,0.585878485879549,"ns","CD_vs_nonIBD: p=0.128, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","pairwise_level","UC_vs_nonIBD",0.665822249876751,0.752608052222985,"ns","UC_vs_nonIBD: p=0.666, FDR=0.753 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","pairwise_level","CD_vs_nonIBD",0.37088747636319,0.585878485879549,"ns","CD_vs_nonIBD: p=0.371, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","pairwise_level","UC_vs_nonIBD",0.339043962950842,0.585878485879549,"ns","UC_vs_nonIBD: p=0.339, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","pairwise_level","CD_vs_nonIBD",0.263920749544804,0.585878485879549,"ns","CD_vs_nonIBD: p=0.264, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","pairwise_level","UC_vs_nonIBD",0.386223551603154,0.585878485879549,"ns","UC_vs_nonIBD: p=0.386, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","pairwise_level","CD_vs_nonIBD",0.439459363578065,0.585878485879549,"ns","CD_vs_nonIBD: p=0.439, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","pairwise_level","UC_vs_nonIBD",0.379931108805258,0.585878485879549,"ns","UC_vs_nonIBD: p=0.38, FDR=0.586 ns",275,21,"LMM_pairwise_diagnosis_at_mean_week"
"Candida_albicans","Candida_albicans","pairwise_slope","CD_slope_vs_nonIBD",0.00709887074237691,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0071, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Candida_albicans","Candida_albicans","pairwise_slope","UC_slope_vs_nonIBD",0.104215101459784,0.153272490600044,"ns","UC_slope_vs_nonIBD: p=0.104, FDR=0.153 ns",275,21,"LMM_pairwise_slope"
"Candida_auris","Candida_auris","pairwise_slope","CD_slope_vs_nonIBD",0.119956365840001,0.166093429624617,"ns","CD_slope_vs_nonIBD: p=0.12, FDR=0.166 ns",275,21,"LMM_pairwise_slope"
"Candida_auris","Candida_auris","pairwise_slope","UC_slope_vs_nonIBD",0.0162862332103186,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0163, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Candida_dubliniensis","Candida_dubliniensis","pairwise_slope","CD_slope_vs_nonIBD",0.0574591079419192,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0575, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Candida_dubliniensis","Candida_dubliniensis","pairwise_slope","UC_slope_vs_nonIBD",0.763395877143857,0.785207187919395,"ns","UC_slope_vs_nonIBD: p=0.763, FDR=0.785 ns",275,21,"LMM_pairwise_slope"
"Candida_orthopsilosis","Candida_orthopsilosis","pairwise_slope","CD_slope_vs_nonIBD",0.0374479688388334,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0374, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Candida_orthopsilosis","Candida_orthopsilosis","pairwise_slope","UC_slope_vs_nonIBD",0.100526493620635,0.153272490600044,"ns","UC_slope_vs_nonIBD: p=0.101, FDR=0.153 ns",275,21,"LMM_pairwise_slope"
"Debaryomyces_hansenii","Debaryomyces_hansenii","pairwise_slope","CD_slope_vs_nonIBD",0.730476471417924,0.773445675618978,"ns","CD_slope_vs_nonIBD: p=0.73, FDR=0.773 ns",275,21,"LMM_pairwise_slope"
"Debaryomyces_hansenii","Debaryomyces_hansenii","pairwise_slope","UC_slope_vs_nonIBD",0.667058267786263,0.750440551259546,"ns","UC_slope_vs_nonIBD: p=0.667, FDR=0.75 ns",275,21,"LMM_pairwise_slope"
"Dekkera_bruxellensis","Dekkera_bruxellensis","pairwise_slope","CD_slope_vs_nonIBD",0.0494860086277961,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0495, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
